id города,дата,Температура день,давление день,облачность день,явления день,ветер день,температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233739,2016-06-16,+17,728,пасмурно,-,С 1м/с,+13,728,малооблачно,-,С 1м/с
233739,2016-06-17,+23,727,малооблачно,-,С 1м/с,+18,727,малооблачно,-,С 1м/с
233739,2016-06-18,+26,726,пасмурно,-,Ю 2м/с,+21,725,малооблачно,-,Ю 2м/с
233739,2016-06-19,+19,729,пасмурно,-,С 2м/с,+11,724,пасмурно,-,С 2м/с
233739,2016-06-20,+17,728,малооблачно,-,Ю 1м/с,+12,729,ясно,-,Ю 1м/с
233739,2016-06-21,+13,725,облачно,-,С 2м/с,+12,724,пасмурно,-,С 2м/с
233739,2016-06-22,+15,727,пасмурно,-,С 1м/с,+13,728,малооблачно,-,С 1м/с
233739,2016-06-23,+12,727,пасмурно,-,С 1м/с,+11,727,пасмурно,-,С 1м/с
233739,2016-06-24,+21,728,пасмурно,-,С 4м/с,+15,731,облачно,-,С 4м/с
233739,2016-06-25,+22,729,пасмурно,-,ЮВ 2м/с,+18,729,малооблачно,-,ЮВ 2м/с
233739,2016-06-26,+26,725,малооблачно,-,В 1м/с,+19,724,малооблачно,-,В 1м/с
233739,2016-06-27,+17,727,пасмурно,-,С 3м/с,+14,727,малооблачно,-,С 3м/с
233739,2016-06-28,+20,726,малооблачно,-,С 2м/с,+15,727,малооблачно,-,С 2м/с
233739,2016-06-29,+20,726,малооблачно,-,С 1м/с,+17,727,малооблачно,-,С 1м/с
233739,2016-06-30,+23,727,малооблачно,-,Ю 2м/с,+19,727,ясно,-,Ю 2м/с
233739,2016-07-01,+28,725,облачно,-,В 1м/с,+23,726,ясно,-,В 1м/с
233739,2016-07-02,+27,727,ясно,-,ЮВ 3м/с,+20,728,малооблачно,-,ЮВ 3м/с
233739,2016-07-03,+21,729,пасмурно,-,ЮВ 2м/с,+19,729,малооблачно,-,ЮВ 2м/с
233739,2016-07-04,+29,728,малооблачно,-,Ю 2м/с,+18,728,облачно,-,Ю 2м/с
233739,2016-07-05,+19,729,пасмурно,-,С 1м/с,+18,728,облачно,-,С 1м/с
233739,2016-07-06,+26,722,малооблачно,-,С 2м/с,+22,722,пасмурно,-,С 2м/с
233739,2016-07-07,+26,725,малооблачно,-,С 3м/с,+19,726,малооблачно,-,С 3м/с
233739,2016-07-08,+27,726,ясно,-,С 2м/с,+23,726,ясно,-,С 2м/с
233739,2016-07-09,+30,725,ясно,-,В 1м/с,+23,722,малооблачно,-,В 1м/с
233739,2016-07-10,+30,734,малооблачно,-,Ю 4м/с,+22,720,облачно,-,Ю 4м/с
233739,2016-07-11,+14,716,облачно,-,С 1м/с,+12,713,малооблачно,-,С 1м/с
233739,2016-07-12,+16,721,облачно,-,З 2м/с,+14,724,малооблачно,-,З 2м/с
233739,2016-07-13,+16,729,малооблачно,-,С 2м/с,+14,731,малооблачно,-,С 2м/с
233739,2016-07-14,+18,734,пасмурно,-,СВ 1м/с,+14,735,облачно,-,СВ 1м/с
233739,2016-07-15,+16,734,пасмурно,-,СВ 2м/с,+14,732,малооблачно,-,СВ 2м/с
233739,2016-07-16,,,-,-,,+17,729,ясно,-,Ш
233739,2016-07-17,+23,729,малооблачно,-,СВ 2м/с,+18,729,ясно,-,СВ 2м/с
233739,2016-07-18,+27,727,ясно,-,С 1м/с,+21,727,малооблачно,-,С 1м/с
233739,2016-07-19,+31,726,малооблачно,-,Ю 2м/с,+25,726,малооблачно,-,Ю 2м/с
233739,2016-07-20,+26,728,облачно,-,С 3м/с,+23,728,облачно,-,С 3м/с
233739,2016-07-21,+30,722,облачно,-,Ю 3м/с,+17,725,облачно,-,Ю 3м/с
233739,2016-07-22,+22,730,облачно,-,В 1м/с,+17,731,облачно,-,В 1м/с
233739,2016-07-23,+26,728,малооблачно,-,ЮВ 1м/с,+22,728,пасмурно,-,ЮВ 1м/с
233739,2016-07-24,+22,727,облачно,-,Ю 1м/с,+18,727,малооблачно,-,Ю 1м/с
233739,2016-07-25,+26,725,облачно,-,Ю 2м/с,+21,726,малооблачно,-,Ю 2м/с
233739,2016-07-26,+26,728,малооблачно,-,В 2м/с,+20,729,малооблачно,-,В 2м/с
233739,2016-07-27,+17,729,пасмурно,-,СВ 3м/с,+15,729,малооблачно,-,СВ 3м/с
233739,2016-07-28,+23,726,малооблачно,-,В 2м/с,+17,728,малооблачно,-,В 2м/с
233739,2016-07-29,+22,728,пасмурно,-,С 1м/с,+20,728,малооблачно,-,С 1м/с
233739,2016-07-30,+25,728,облачно,-,Ю 2м/с,+21,728,малооблачно,-,Ю 2м/с
233739,2016-07-31,+26,729,облачно,-,Ю 2м/с,+18,730,малооблачно,-,Ю 2м/с
